"Nilai Dimensi Budaya Literasi, Indeks Pembangunan Kebudayaan (IPK) Tahun 2021",,,,
,,,,
No,Kode Kemdagri,Kode BPS,Provinsi,Nilai Dimensi Budaya Literasi
1,11,11,Aceh,59.40
2,12,12,Sumatera Utara,55.66
3,13,13,Sumatera Barat,61.17
4,14,14,Riau,56.39
5,15,15,Jambi,53.88
6,16,16,Sumatera Selatan,55.41
7,17,17,Bengkulu,53.22
8,18,18,Lampung,50.20
9,19,19,Kepulauan Bangka Belitung,55.75
10,21,21,Kepulauan Riau,66.78
11,31,31,D.K.I. Jakarta,67.11
12,32,32,Jawa Barat,56.60
13,33,33,Jawa Tengah,50.00
14,34,34,D.I. Yogyakarta,56.20
15,35,35,Jawa Timur,50.81
16,36,36,Banten,56.58
17,51,51,Bali,62.99
18,52,52,Nusa Tenggara Barat,54.22
19,53,53,Nusa Tenggara Timur,47.32
20,61,61,Kalimantan Barat,50.91
21,62,62,Kalimantan Tengah,52.19
22,63,63,Kalimantan Selatan,52.43
23,64,64,Kalimantan Timur,60.09
24,65,65,Kalimantan Utara,52.79
25,71,71,Sulawesi Utara,48.01
26,72,72,Sulawesi Tengah,51.09
27,73,73,Sulawesi Selatan,54.85
28,74,74,Sulawesi Tenggara,59.82
29,75,75,Gorontalo,61.21
30,76,76,Sulawesi Barat,47.61
31,81,81,Maluku,47.81
32,82,82,Maluku Utara,48.26
33,91,94,Papua,27.36
34,92,91,Papua Barat,47.42
,,,Indonesia,54.29
